Name,Address,Type,Phone,Website,latitude,longitude
SEA LIFE Charlotte-Concord,"8111 Concord Mills Blvd Concord, North Carolina 28027",Sea Life,(855) 450-0512,https://www.visitsealife.com/charlotte-concord/,35.368749,-80.722286
North Carolina Aquarium at Fort Fisher,"900 Loggerhead Rd, Kure Beach, NC 28449",Sea Life,(910) 772-0500,https://www.ncaquariums.com/fort-fisher,33.9629149,-77.9254669
North Carolina Aquarium at ROANOKE ISLAND,"374 Airport Road, Manteo, NC 27954",Sea Life,(252) 475-2300,https://www.ncaquariums.com/roanoke-island,35.9175132,-75.7039623
North Carolina Aquarium at PINE KNOLL SHORES,"1 Roosevelt Blvd., Pine Knoll Shores, NC 28512",Sea Life,252-247-4003,https://www.ncaquariums.com/pine-knoll-shores,34.697697,-76.821524
North Carolina Aquarium at PINE KNOLL SHORES,"7223 South Virginia Dare Trail, Nags Head, NC 27959",Sea Life,(252) 255-1501,https://www.ncaquariums.com/jennettes-pier,35.9105337,-75.5977514
Topsail Aquarium,"106 N Topsail Drive, Surf City NC",Sea Life,910-515-9751,https://www.topsailaquarium.com,34.4265109,-77.544811
Little Rascals Pony Rides,365 Haughton Williams Rd Franklin NC 28734,Zoo,(828) 421-3308,https://little-rascals-pony-rides-and-petting-zoo.ueniweb.com,35.21576888,-83.4269158
Why Not An American Ark,3224 Medlin Rd Monroe NC 28112,Zoo,(704) 226-5406,www.wnaaa.com,34.96583649,-80.52504389
Tiger World,"4400 Cook Rd, Rockwell, NC 28138",Zoo,(704) 279-6363,https://tigerworld.us,35.549074,-80.494939
Darby Safari,"Kelly Rd, Charlotte, NC, 28216 (check website) ",Zoo,704-738-4445,https://www.darbyacresfarm.com,35.315795,-80.91464
Friends of Western North Carolina Nature Center,"75 Gashes Creek Road Asheville, NC 28805",Zoo,828-259-8080,https://wildwnc.org,35.5794625,-82.4937685
